Data do Lead,ID_Lead,Qual a sua área de atuação?,Qual o seu cargo atual?,Quais seus objetivos com o curso?,Como você conheceu a escola?,Conversão
12/29/22,2551,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Indicação,0
12/29/22,2173,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
12/29/22,2552,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
12/30/22,2566,Mercado Financeiro,Estudante,Apenas ver se agrega algo ao currículo,Conta Salário,0
12/30/22,2803,Pessoas / Recursos Humanos,Estudante,Apenas ver se agrega algo ao currículo,Instagram,1
12/30/22,1970,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
12/30/22,2574,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/2/23,2583,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
1/2/23,2587,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Conta Salário,0
1/2/23,2632,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/2/23,2588,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/2/23,2867,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
1/2/23,2023,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Indicação,0
1/3/23,2604,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/3/23,2884,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/3/23,2609,Logística,Analista,Apenas ver se agrega algo ao currículo,Instagram,0
1/3/23,2610,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/3/23,2733,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/3/23,2578,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/3/23,2613,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
1/3/23,2619,Logística,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Instagram,0
1/3/23,2620,Pessoas / Recursos Humanos,Estudante,Melhorar minha carreira e ganhar mais,Facebook,0
1/4/23,2670,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
1/4/23,3016,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,1
1/4/23,2627,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
1/4/23,2629,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
1/4/23,2649,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
1/4/23,2630,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
